name,tags,x,y,z,bas_demand
Junction-16178,,"356378.978106103837490","397830.094278542906977","92.969999999999999","0.291239"
Junction-14317,,"354358.400107632856816","397069.072279909567442","20.079999999999998","0.239935"
Junction-26459,,"355058.169107065419666","398196.552277985319961","33.983336999999999","0.000000"
Junction-472778,,"355731.721000000834465","396569.394000001251698","27.533943000000001","0.000000"
Junction-472201,,"355346.350483402551617","396580.499316319241188","28.055000000000000","0.000000"
Junction-26274,,"354463.816232505836524","398162.990590567642357","39.823334000000003","0.000000"
Junction-1004,,"355396.894106813706458","398251.207277875975706","34.619999999999997","0.000000"
Junction-36236,,"354862.483107208623551","398313.359277796815149","40.825000000000003","0.028421"
Junction-36196,,"354604.772107404423878","398133.314278108475264","36.085000000000001","0.000000"
Junction-14410,,"354537.249544947932009","398359.299902735103387","29.609999999999999","0.141758"
Junction-55520,,"353365.136108373175375","397007.865280056605116","14.699733000000000","0.529656"
Junction-590492,,"356197.398500002862420","398094.857250001281500","81.700000000000003","0.000000"
Junction-51082,,"355705.588919090223499","398115.893090593221132","48.212499999999999","0.058932"
Junction-44199,,"354186.782107775157783","396709.380280516634230","20.553331000000000","0.000000"
Junction-1176,,"355563.695106686267536","398318.777277754677925","43.557499999999997","0.000000"
Junction-457,,"354247.879107669286896","398140.695278112543747","23.010000000000002","0.041588"
Junction-36031,,"353558.239108245237730","396663.144280622305814","21.884777000000000","0.000000"
Junction-37118,,"356159.642106215818785","398910.028276737255510","36.869999999999997","0.080517"
Sensor-1,test,"355639.868106702284422","396686.028280495200306","26.730000000000000","1.296875"
Junction-44942,,"355942.865981414681301","398066.062465663708281","68.576669999999993","0.169230"
Junction-590476,,"353900.917499996721745","398197.350000001490116","11.000000000000000","0.000000"
Junction-454677,,"354371.181500002741814","396850.025312498211861","21.468330000000002","0.908818"
Junction-58972,,"353715.332108090864494","397569.624279097421095","12.669249000000001","0.058932"
Junction-454082,,"355737.374106613569893","396993.161279974738136","26.685500999999999","0.116088"
Junction-59176,,"355925.168106394005008","398822.200276894553099","40.853332999999999","0.136093"
Junction-51068,,"355651.886106684396509","396865.872280193550978","24.449998999999998","0.000000"
Junction-38376,,"357500.236105322197545","396730.455280340102036","48.433334000000002","0.000000"
Junction-56021,,"356186.849481234094128","398147.684653014526702","78.628585999999999","0.301747"
Junction-14484,,"354604.925107401155401","398133.833903109072708","36.096670000000003","0.000000"
Junction-26758,,"355433.254106779233553","398412.811277606349904","27.181419999999999","0.136441"
Junction-50942,,"355398.689106862992048","397148.036279733700212","40.922499999999999","0.000000"
Junction-14718,,"355141.013544504530728","398247.506965396809392","32.112499999999997","0.000000"
Junction-1154,,"355553.786106704908889","398024.923653247067705","38.265000000000001","0.044942"
Junction-50794,,"354774.720107324712444","397063.012279898917768","24.864999999999998","0.023104"
